City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Smithers,CA,2021-09-18 18:39:07,54.7804,-127.1743,44.92,93,90,3.44
160,Ferry Pass,US,2021-09-18 18:40:47,30.5102,-87.2125,80.76,93,75,6.91
161,Ornskoldsvik,SE,2021-09-18 18:40:47,63.2909,18.7153,44.42,81,90,2.3
162,Chuy,UY,2021-09-18 18:40:47,-33.6971,-53.4616,66.38,74,6,8.63
163,Beidao,CN,2021-09-18 18:40:48,34.5686,105.8933,57.36,92,100,0.63
164,Mahon,ES,2021-09-18 18:40:48,39.8885,4.2658,75.76,78,20,9.22
165,Sabzevar,IR,2021-09-18 18:40:48,36.2126,57.6819,77.99,27,0,7.52
166,Yulara,AU,2021-09-18 18:40:48,-25.2406,130.9889,55.24,58,0,6.91
167,Mehamn,NO,2021-09-18 18:40:49,71.0357,27.8492,44.78,74,0,11.16
168,Svetlyy,RU,2021-09-18 18:38:42,54.675,20.1347,51.85,60,100,12.71
169,Kuusamo,FI,2021-09-18 18:40:49,65.9667,29.1833,39.24,81,90,1.14
170,Prince Rupert,CA,2021-09-18 18:40:49,54.3161,-130.3201,53.29,88,90,2.3
171,Avarua,CK,2021-09-18 18:40:50,-21.2078,-159.775,75.25,78,20,6.91
172,Ngunguru,NZ,2021-09-18 18:40:50,-35.6167,174.5,42.17,77,0,4.99
173,Ramanuj Ganj,IN,2021-09-18 18:40:50,23.8,83.7,74.5,92,100,2.55
174,Jamame,SO,2021-09-18 18:40:51,0.0722,42.7506,76.03,83,0,12.12
175,Souillac,MU,2021-09-18 18:40:01,-20.5167,57.5167,68.38,83,40,5.75
176,Lorengau,PG,2021-09-18 18:40:51,-2.0226,147.2712,80.46,82,97,8.52
177,Tomatlan,MX,2021-09-18 18:40:51,19.9333,-105.25,86.32,69,100,7.09
178,Muravlenko,RU,2021-09-18 18:40:52,63.7898,74.523,32.86,98,100,17.31
179,Senj,HR,2021-09-18 18:40:52,44.9894,14.9058,68.72,75,15,6.76
180,Songkhla,TH,2021-09-18 18:40:52,6.8333,100.6667,77.05,95,50,2.8
181,Sinaloa,MX,2021-09-18 18:39:44,25.0,-107.5,90.1,71,100,5.01
182,Comodoro Rivadavia,AR,2021-09-18 18:40:53,-45.8667,-67.5,51.66,58,0,8.05
183,Bacolod,PH,2021-09-18 18:35:56,10.6667,122.95,77.0,88,72,2.39
184,Cidreira,BR,2021-09-18 18:40:53,-30.1811,-50.2056,67.89,89,53,7.31
185,Airai,TL,2021-09-18 18:40:53,-8.9266,125.4092,57.47,57,81,3.18
186,Cockburn Town,TC,2021-09-18 18:40:54,21.4612,-71.1419,85.96,62,40,10.36
187,Margate,GB,2021-09-18 18:40:54,51.3813,1.3862,67.95,84,98,11.41
188,Lapeer,US,2021-09-18 18:40:54,43.0514,-83.3188,78.53,46,1,0.0
189,Wuda,CN,2021-09-18 18:40:55,39.4994,106.7117,64.49,58,87,4.41
190,Yinchuan,CN,2021-09-18 18:40:55,38.4681,106.2731,65.05,47,20,6.62
191,Listvyanskiy,RU,2021-09-18 18:40:55,54.4399,83.4984,47.19,75,65,7.4
192,Pavlogradka,RU,2021-09-18 18:40:56,54.2024,73.5592,45.93,83,100,10.8
193,San Patricio,US,2021-09-18 18:40:56,28.017,-97.5169,94.15,42,28,8.21
194,Bengkulu,ID,2021-09-18 18:40:56,-3.8004,102.2655,75.85,91,80,10.71
195,Nikolskoye,RU,2021-09-18 18:40:57,59.7035,30.7861,48.09,81,99,6.51
196,Charyshskoye,RU,2021-09-18 18:40:57,51.3978,83.5598,43.57,86,62,1.43
197,Sharan,RU,2021-09-18 18:40:57,54.8167,54.0,35.62,87,18,10.87
198,Tyler,US,2021-09-18 18:40:23,32.3513,-95.3011,90.43,71,1,3.0
199,Naze,JP,2021-09-18 18:40:58,28.3667,129.4833,73.65,72,86,5.14
200,Saint George,US,2021-09-18 18:40:58,37.1041,-113.5841,70.27,77,90,8.05
201,Faanui,PF,2021-09-18 18:40:58,-16.4833,-151.75,78.24,73,75,21.92
202,Seoul,KR,2021-09-18 18:40:59,37.5683,126.9778,71.04,88,0,2.3
203,Namuac,PH,2021-09-18 18:40:59,18.6109,121.1657,79.95,87,12,8.68
204,Yerbogachen,RU,2021-09-18 18:41:00,61.2767,108.0108,38.53,70,100,5.21
205,Cap-Aux-Meules,CA,2021-09-18 18:41:00,47.3821,-61.8597,69.85,83,75,14.97
206,Longyearbyen,SJ,2021-09-18 18:41:00,78.2186,15.6401,46.24,81,75,17.27
207,Yumen,CN,2021-09-18 18:41:00,40.2833,97.2,64.78,31,65,8.79
208,Nizwa,OM,2021-09-18 18:41:01,22.9333,57.5333,85.19,56,59,4.97
209,Kamaishi,JP,2021-09-18 18:41:01,39.2667,141.8833,63.03,85,32,5.28
210,Esperance,AU,2021-09-18 18:41:02,-33.8667,121.9,55.24,83,100,11.97
211,Katsuura,JP,2021-09-18 18:41:02,35.1333,140.3,75.31,94,98,22.68
212,Pochutla,MX,2021-09-18 18:41:03,15.7432,-96.4661,89.82,60,100,4.92
213,Tezu,IN,2021-09-18 18:41:03,27.9167,96.1667,70.84,84,14,3.83
214,Portel,BR,2021-09-18 18:41:03,-1.9356,-50.8211,93.06,42,57,3.71
215,Saint-Pierre,RE,2021-09-18 18:41:04,-21.3393,55.4781,69.48,87,90,9.22
216,Sortland,NO,2021-09-18 18:41:04,68.6949,15.4162,51.37,67,100,6.71
217,Chontalpa,MX,2021-09-18 18:41:04,17.7,-93.5167,87.93,66,52,4.85
218,Warmbad,NA,2021-09-18 18:41:05,-28.45,18.7333,63.99,30,0,9.91
219,Carupano,VE,2021-09-18 18:41:05,10.6678,-63.2585,86.63,58,93,14.47
220,Lata,PT,2021-09-18 18:41:05,40.1629,-8.3327,65.8,79,5,4.76
221,Berck,FR,2021-09-18 18:41:06,50.4,1.6,68.7,63,0,4.61
222,Aklavik,CA,2021-09-18 18:41:06,68.2191,-135.0107,44.6,93,90,4.61
223,Sorland,NO,2021-09-18 18:38:50,67.667,12.6934,52.45,73,100,19.13
224,Sembe,CG,2021-09-18 18:41:06,1.6481,14.5806,71.46,98,100,0.38
225,San Carlos De Bariloche,AR,2021-09-18 18:41:07,-41.1456,-71.3082,49.75,37,20,16.11
226,Tazovskiy,RU,2021-09-18 18:41:07,67.4667,78.7,40.5,92,100,6.15
227,Kenitra,MA,2021-09-18 18:41:07,34.261,-6.5802,72.73,78,0,8.68
228,Bilma,NE,2021-09-18 18:41:08,18.6853,12.9164,93.27,13,100,6.73
229,Havre-Saint-Pierre,CA,2021-09-18 18:41:08,50.2334,-63.5986,61.16,77,1,27.63
230,Rypefjord,NO,2021-09-18 18:41:08,70.6333,23.6667,45.07,70,100,2.3
231,Poum,NC,2021-09-18 18:41:09,-20.2333,164.0167,69.51,66,0,9.1
232,Giyani,ZA,2021-09-18 18:41:09,-23.3025,30.7187,61.11,62,0,8.7
233,Iqaluit,CA,2021-09-18 18:41:09,63.7506,-68.5145,37.13,81,90,12.66
234,Ostersund,SE,2021-09-18 18:41:10,63.1792,14.6357,45.05,81,75,11.5
235,Palauig,PH,2021-09-18 18:41:10,15.435,119.9045,80.85,77,6,2.62
236,Wasilla,US,2021-09-18 18:41:07,61.5814,-149.4394,47.03,86,90,3.44
237,Troy,US,2021-09-18 18:41:11,42.6056,-83.1499,78.91,59,1,3.0
238,Sergeyevka,KZ,2021-09-18 18:41:11,53.88,67.4158,42.94,86,100,12.39
239,Castro,BR,2021-09-18 18:41:11,-24.7911,-50.0119,78.75,52,65,5.7
240,Dillon,US,2021-09-18 18:41:12,34.4166,-79.3712,89.94,39,98,6.91
241,Pundaguitan,PH,2021-09-18 18:41:12,6.3711,126.1689,80.1,82,100,9.15
242,Porto Nacional,BR,2021-09-18 18:41:12,-10.7081,-48.4172,98.6,14,1,2.64
243,Dikson,RU,2021-09-18 18:39:39,73.5069,80.5464,34.56,75,12,26.8
244,Hailar,CN,2021-09-18 18:41:13,49.2,119.7,41.5,86,1,7.0
245,Maridi,SS,2021-09-18 18:41:13,4.9158,29.4742,67.46,97,99,3.04
246,Roebourne,AU,2021-09-18 18:37:18,-20.7833,117.1333,71.87,37,0,8.34
